Telbrake
Telbrake, Fragge
|
Erwachsene|200|Kinder (3-11 Jahre)|140
18:26|20:26|22:26|00:26
15:26|17:26|19:26|21:26|23:26|01:26
15:26|17:26|19:26|21:26|23:26|01:26
15:26|17:26|19:26|21:26
08:26|10:26|12:26|14:26|16:26|18:26|20:26|22:26|00:26
15:26|17:26|19:26|21:26
undefined
Telbrake, Langer Damm
|
Erwachsene|200|Kinder (3-11 Jahre)|140
18:27|20:27|22:27|00:27
15:27|17:27|19:27|21:27|23:27|01:27
15:27|17:27|19:27|21:27|23:27|01:27
15:27|17:27|19:27|21:27
08:27|10:27|12:27|14:27|16:27|18:27|20:27|22:27|00:27
15:27|17:27|19:27|21:27
undefined
Telbrake, Sträpel
|
Erwachsene|200|Kinder (3-11 Jahre)|140
18:29|20:29|22:29|00:29
15:29|17:29|19:29|21:29|23:29|01:29
15:29|17:29|19:29|21:29|23:29|01:29
15:29|17:29|19:29|21:29
08:29|10:29|12:29|14:29|16:29|18:29|20:29|22:29|00:29
15:29|17:29|19:29|21:29
undefined
Telbrake, Hoher Esch
|
Erwachsene|200|Kinder (3-11 Jahre)|140
18:30|20:30|22:30|00:30
15:30|17:30|19:30|21:30|23:30|01:30
15:30|17:30|19:30|21:30|23:30|01:30
15:30|17:30|19:30|21:30
08:30|10:30|12:30|14:30|16:30|18:30|20:30|22:30|00:30
15:30|17:30|19:30|21:30
undefined
Oythe, Treffpunkt
|
Erwachsene|200|Kinder (3-11 Jahre)|140
18:32|20:32|22:32|00:32
15:32|17:32|19:32|21:32|23:32|01:32
15:32|17:32|19:32|21:32|23:32|01:32
15:32|17:32|19:32|21:32
08:32|10:32|12:32|14:32|16:32|18:32|20:32|22:32|00:32
15:32|17:32|19:32|21:32
undefined
Stoppelmarkt
|
Erwachsene|200|Kinder (3-11 Jahre)|140
18:36|20:36|22:36|00:36
15:36|17:36|19:36|21:36|23:36|01:36
15:36|17:36|19:36|21:36|23:36|01:36
15:36|17:36|19:36|21:36
08:36|10:36|12:36|14:36|16:36|18:36|20:36|22:36|00:36
15:36|17:36|19:36|21:36
undefined
return
|
Erwachsene|200|Kinder (3-11 Jahre)|140
20:20|22:20|00:20
17:20|19:20|21:20|23:20|01:20
17:20|19:20|21:20|23:20|01:20
17:20|19:20|21:20
10:20|12:20|14:20|16:20|18:20|20:20|22:20|00:20
17:20|19:20
undefined
